"Sample","Site","Region","Glaze_or_slip_color","Ware","Provenance","Al2O3","As2O3","BaO","CaO","Cl","CoO","Cr2O3","CuO","FeO","K2O","MgO","MnO","MoO3","Na2O","NiO2","P2O5","PbO","Sb2O3","SiO2","SnO2","SO3","TiO2","ZnO","Count","alkali","Ware_type"
"5149","Bust","Southern Afghanistan","Transparent","Slipware","Type A",2.91,NA,NA,2.41,NA,NA,NA,NA,1.17,0.702,0.601,NA,NA,0.802,NA,NA,57.6,NA,33.8,NA,NA,NA,NA,0,7.425,"Transparent"
"5155","Bust","Southern Afghanistan","Transparent","Slipware","Type A",2.49,NA,NA,0.996,NA,NA,NA,NA,NA,0.498,0.498,NA,NA,0.598,NA,NA,62.7,NA,32.2,NA,NA,NA,NA,0,5.08,"Transparent"
"5165","Bust","Southern Afghanistan","Transparent","Slipware","Type A",3.4,NA,NA,1.09,NA,NA,NA,NA,NA,0.53,0.45,NA,NA,0.6,NA,NA,66,NA,28,NA,NA,NA,NA,0,6.07,"Transparent"
"5181","Bust","Southern Afghanistan","Transparent","Slipware","Type A",3.11,NA,NA,1.9,NA,NA,NA,NA,NA,1.9,0.802,NA,NA,1.09,NA,NA,56.1,NA,35.1,NA,NA,NA,NA,0,8.802,"Transparent"
"5193","Bust","Southern Afghanistan","Transparent","Slipware","Type A",2,NA,NA,0.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.802,NA,NA,67.1,NA,29.2,NA,NA,NA,NA,0,3.704,"Transparent"
"5197","Bust","Southern Afghanistan","","Underglaze","Type C",1.1,NA,NA,3.51,NA,NA,NA,1.8,NA,2.51,1.66,NA,NA,3.81,NA,NA,36.1,NA,45.5,4.01,NA,NA,NA,0,12.59,"Transparent"
"5208","Bust","Southern Afghanistan","Transparent","Slipware","Type A",2.99,NA,NA,1.39,NA,NA,NA,NA,NA,0.896,0.498,NA,NA,0.598,NA,NA,61.8,NA,31.9,NA,NA,NA,NA,0,6.372,"Transparent"
"5210","Bust","Southern Afghanistan","Transparent","Slipware","Type A",3.03,NA,NA,1.21,NA,NA,NA,NA,0.999,NA,0.495,NA,NA,0.404,NA,NA,63.6,NA,30.3,NA,NA,NA,NA,0,5.139,"Transparent"
"5211","Bust","Southern Afghanistan","Transparent","Slipware","Type A",4.99,NA,NA,1.3,NA,NA,NA,NA,NA,1.2,0.798,NA,NA,0.898,NA,NA,56.9,NA,33.9,NA,NA,NA,NA,0,9.186,"Transparent"
"5219","Laskhar-i Bazar","Southern Afghanistan","Transparent","Slipware","Type A",1.6,NA,NA,1.3,NA,NA,NA,NA,NA,0.47,NA,NA,NA,0.8,NA,NA,63.6,NA,32.2,NA,NA,NA,NA,0,4.17,"Transparent"
"5224","Laskhar-i Bazar","Southern Afghanistan","Transparent","Slipware","Type A",1.81,NA,NA,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.3,NA,29.1,NA,NA,NA,NA,0,2.514,"Transparent"
"5233","Laskhar-i Bazar","Southern Afghanistan","","Slipware","Type B",4.02,NA,NA,NA,NA,NA,NA,NA,1.27,1.21,0.603,NA,NA,0.452,NA,NA,66.3,NA,26.1,NA,NA,NA,NA,0,6.285,"Transparent"
"5241","Bust","Southern Afghanistan","","Undetermined","",3.49,NA,NA,2.89,NA,NA,NA,3.29,1.26,1.5,1.06,NA,NA,0.498,NA,NA,52.8,NA,33.2,NA,NA,NA,NA,0,9.438,"Other"
"5248","Bust","Southern Afghanistan","Transparent","Monochrome","Type A",5.1,NA,NA,1.66,NA,NA,NA,2.3,NA,0.44,0.9,NA,NA,0.5,NA,NA,53.1,NA,36,NA,NA,NA,NA,0,8.6,"Transparent"
"Akhsiket 15/1.1","Akhsiket","Ferghana Valley","Green","Slipware",NA,1.5,NA,NA,0.699,NA,NA,NA,3.4,0,0.0999,0,NA,NA,0,NA,NA,59.8,NA,34.5,NA,NA,0,NA,0,2.2989,"Transparent"
"Akhsiket 15/1.1","Akhsiket","Ferghana Valley","Red","Slipware",NA,1.5,NA,NA,1.3,NA,NA,NA,0,1.17,0,0,NA,NA,0,NA,NA,62.6,NA,33.4,NA,NA,0,NA,0,2.8,"Transparent"
"Akhsiket 15/1.1","Akhsiket","Ferghana Valley","Transparent","Slipware",NA,1.4,NA,NA,0.8,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,62.2,NA,35.2,NA,NA,0.4,NA,0,2.2,"Transparent"
"Akhsiket 15/1.1","Akhsiket","Ferghana Valley","Yellow","Slipware",NA,1.7,NA,NA,0.799,NA,NA,NA,0,0.27,0.3,0,NA,NA,0,NA,NA,63.9,NA,33.1,NA,NA,0,NA,0,2.799,"Transparent"
"Akhsiket 23 surface, Kiln rod green glaze","Akhsiket","Ferghana Valley","","Kiln Furniture",NA,3.2,NA,NA,3,NA,NA,NA,1.7,0.991,1.8,0.601,NA,NA,0.2,NA,NA,48.2,NA,40.3,NA,NA,NA,NA,0,8.801,"Other"
"Akhsiket 23/10a.1","Akhsiket","Ferghana Valley","Black","Underglaze",NA,3.8,NA,NA,6.81,1.1,NA,NA,0,1.17,7.91,2.8,1.6,NA,7.31,NA,0,1e-05,NA,67.4,NA,0,0.1,NA,0,28.63,"Transparent"
"Akhsiket 23/10b.3","Akhsiket","Ferghana Valley","Blue","Ishkor",NA,3.7,NA,NA,4.9,0.9,NA,NA,7.1,1.17,3.7,1.9,1.4,NA,7.7,NA,0,1e-05,NA,67.3,NA,0.2,0,NA,0,21.9,"Opaque"
"Akhsiket 23/10b.3","Akhsiket","Ferghana Valley","Lilac","Ishkor",NA,4.22,NA,NA,7.64,0.301,NA,NA,2.11,1.63,3.82,3.32,1.81,NA,6.63,NA,0,1e-05,NA,68.5,NA,0,0,NA,0,25.63,"Opaque"
"Akhsiket 23/11a.2","Akhsiket","Ferghana Valley","Black","Slipware",NA,2.9,NA,NA,0.701,NA,NA,NA,NA,1.17,1.8,0,0.1,NA,0.2,NA,NA,49.4,NA,43.8,NA,NA,NA,NA,0,5.601,"Transparent"
